year,model,horizon,p50,p90,p99,n_trajs
2019,Kalman,30→15,14.939339637756348,29.730087280273438,48.63422161102296,48000
2019,Kalman,60→30,52.18755912780762,103.4557388305664,166.8580924987793,48000
2019,Seq2Seq,30→15,3.7003467082977295,8.620933914184569,16.13532808303833,48000
2019,Seq2Seq,60→30,26.207021713256836,54.39128341674804,92.5559867858887,48000
2021,Kalman,30→15,24.21190071105957,47.58250198364258,84.59815002441415,48000
2021,Kalman,60→30,81.15361022949219,160.56208038330075,261.5399493408205,48000
2021,Seq2Seq,30→15,5.867319583892822,15.118001461029051,28.992930965423593,48000
2021,Seq2Seq,60→30,40.31678581237793,98.09030151367188,187.19436859130911,48000
2022,Kalman,30→15,18.382705688476562,29.487360382080077,44.213064308166544,48000
2022,Kalman,60→30,63.93317985534668,103.34521713256835,151.96100845336923,48000
2022,Seq2Seq,30→15,4.017255783081055,8.905180644989013,15.857404470443726,48000
2022,Seq2Seq,60→30,28.501168251037598,56.39752082824707,89.96061843872077,48000
2023,Kalman,30→15,19.838825225830078,36.46998329162597,53.99150375366213,48000
2023,Kalman,60→30,67.8432502746582,125.89843444824218,185.01626388549812,48000
2023,Seq2Seq,30→15,4.572995662689209,9.590686225891114,15.408711252212525,48000
2023,Seq2Seq,60→30,32.97090148925781,65.43638687133789,101.32113365173345,48000
2024,Kalman,30→15,17.51277446746826,32.04726448059082,50.85797378540041,48000
2024,Kalman,60→30,61.62097358703613,112.59332199096679,174.511598815918,48000
2024,Seq2Seq,30→15,3.8435420989990234,8.324883937835693,14.74178617477418,48000
2024,Seq2Seq,60→30,27.81318473815918,55.950918960571286,90.85908805847168,48000
2025,Kalman,30→15,21.296689987182617,36.760829544067384,52.433469085693396,48000
2025,Kalman,60→30,72.96709442138672,127.84573745727539,181.88614730834962,48000
2025,Seq2Seq,30→15,4.6276164054870605,9.546987724304199,15.643076505661012,48000
2025,Seq2Seq,60→30,33.41589164733887,64.60576629638672,100.19529632568364,48000
