model,detector,param,param_val,K_mad,thr_mm,n_stream,min_instances,n_alarms,rate_per_1k
Seq2Seq,ADWIN,delta,0.001000,,,288000,200,355,1.232639
Seq2Seq,ADWIN,delta,0.000100,,,288000,200,276,0.958333
Seq2Seq,ADWIN,delta,0.000010,,,288000,200,220,0.763889
Seq2Seq,ADWIN,delta,0.000001,,,288000,200,190,0.659722
Seq2Seq,PH,K_thr,10.000000,10.000000,16.820401,288000,600,1053,3.656250
Seq2Seq,PH,K_thr,20.000000,20.000000,33.640802,288000,600,793,2.753472
Seq2Seq,PH,K_thr,30.000000,30.000000,50.461203,288000,600,609,2.114583
Seq2Seq,PH,K_thr,50.000000,50.000000,84.102005,288000,600,424,1.472222
Seq2Seq,PH,K_thr,80.000000,80.000000,134.563208,288000,600,304,1.055556
Seq2Seq,PH,K_thr,120.000000,120.000000,201.844811,288000,600,228,0.791667
Kalman,ADWIN,delta,0.001000,,,288000,200,421,1.461806
Kalman,ADWIN,delta,0.000100,,,288000,200,327,1.135417
Kalman,ADWIN,delta,0.000010,,,288000,200,261,0.906250
Kalman,ADWIN,delta,0.000001,,,288000,200,239,0.829861
Kalman,PH,K_thr,10.000000,10.000000,65.152540,288000,600,1007,3.496528
Kalman,PH,K_thr,20.000000,20.000000,130.305080,288000,600,743,2.579861
Kalman,PH,K_thr,30.000000,30.000000,195.457621,288000,600,607,2.107639
Kalman,PH,K_thr,50.000000,50.000000,325.762701,288000,600,447,1.552083
Kalman,PH,K_thr,80.000000,80.000000,521.220322,288000,600,352,1.222222
Kalman,PH,K_thr,120.000000,120.000000,781.830482,288000,600,275,0.954861
