detector,shift_sigma,shift_mm_equiv,n_detected,n_total,lat_p10,lat_p50,lat_p90
ADWIN,0.0,0.0,0,100,,,
PH,0.0,0.0,100,100,3.9,15.0,35.1
ADWIN,0.5,0.4483,88,100,248.0,312.0,696.0
PH,0.5,0.4483,100,100,2.0,10.0,27.3
ADWIN,1.0,0.8965,100,100,88.0,88.0,184.0
PH,1.0,0.8965,100,100,3.0,5.0,20.1
ADWIN,2.0,1.793,100,100,56.0,56.0,56.0
PH,2.0,1.793,100,100,2.0,3.0,10.4
ADWIN,5.0,4.4826,100,100,24.0,24.0,24.0
PH,5.0,4.4826,100,100,1.0,1.0,2.0
ADWIN,10.0,8.9651,100,100,24.0,24.0,24.0
PH,10.0,8.9651,100,100,1.0,1.0,2.0
