gamma_factor,gamma,pen,n_bps
0.1,0.07706173,1,2
0.1,0.07706173,2,0
0.1,0.07706173,3,0
0.1,0.07706173,5,0
0.1,0.07706173,7,0
0.1,0.07706173,10,0
0.1,0.07706173,15,0
0.1,0.07706173,20,0
0.1,0.07706173,30,0
0.1,0.07706173,50,0
0.1,0.07706173,75,0
0.1,0.07706173,100,0
0.1,0.07706173,150,0
1.0,0.77061729,1,3
1.0,0.77061729,2,2
1.0,0.77061729,3,0
1.0,0.77061729,5,0
1.0,0.77061729,7,0
1.0,0.77061729,10,0
1.0,0.77061729,15,0
1.0,0.77061729,20,0
1.0,0.77061729,30,0
1.0,0.77061729,50,0
1.0,0.77061729,75,0
1.0,0.77061729,100,0
1.0,0.77061729,150,0
10.0,7.70617288,1,7
10.0,7.70617288,2,1
10.0,7.70617288,3,1
10.0,7.70617288,5,0
10.0,7.70617288,7,0
10.0,7.70617288,10,0
10.0,7.70617288,15,0
10.0,7.70617288,20,0
10.0,7.70617288,30,0
10.0,7.70617288,50,0
10.0,7.70617288,75,0
10.0,7.70617288,100,0
10.0,7.70617288,150,0
