n_jogos_2019,rep,ade_2019,year,ade_y,excess_mm
1,0,6.1952,2019,6.1952,0.0
1,0,6.1952,2021,6.4934,0.2982
1,0,6.1952,2022,4.8754,-1.3197
1,0,6.1952,2023,5.1974,-0.9977
1,0,6.1952,2024,4.9512,-1.2439
1,0,6.1952,2025,4.8871,-1.3081
1,1,6.1952,2019,6.1952,0.0
1,1,6.1952,2021,6.4934,0.2982
1,1,6.1952,2022,4.8754,-1.3197
1,1,6.1952,2023,5.1974,-0.9977
1,1,6.1952,2024,4.9512,-1.2439
1,1,6.1952,2025,4.8871,-1.3081
1,2,6.1952,2019,6.1952,0.0
1,2,6.1952,2021,6.4934,0.2982
1,2,6.1952,2022,4.8754,-1.3197
1,2,6.1952,2023,5.1974,-0.9977
1,2,6.1952,2024,4.9512,-1.2439
1,2,6.1952,2025,4.8871,-1.3081
1,3,6.1952,2019,6.1952,0.0
1,3,6.1952,2021,6.4934,0.2982
1,3,6.1952,2022,4.8754,-1.3197
1,3,6.1952,2023,5.1974,-0.9977
1,3,6.1952,2024,4.9512,-1.2439
1,3,6.1952,2025,4.8871,-1.3081
1,4,6.1952,2019,6.1952,0.0
1,4,6.1952,2021,6.4934,0.2982
1,4,6.1952,2022,4.8754,-1.3197
1,4,6.1952,2023,5.1974,-0.9977
1,4,6.1952,2024,4.9512,-1.2439
1,4,6.1952,2025,4.8871,-1.3081
1,5,6.1952,2019,6.1952,0.0
1,5,6.1952,2021,6.4934,0.2982
1,5,6.1952,2022,4.8754,-1.3197
1,5,6.1952,2023,5.1974,-0.9977
1,5,6.1952,2024,4.9512,-1.2439
1,5,6.1952,2025,4.8871,-1.3081
1,6,6.1952,2019,6.1952,0.0
1,6,6.1952,2021,6.4934,0.2982
1,6,6.1952,2022,4.8754,-1.3197
1,6,6.1952,2023,5.1974,-0.9977
1,6,6.1952,2024,4.9512,-1.2439
1,6,6.1952,2025,4.8871,-1.3081
1,7,6.1952,2019,6.1952,0.0
1,7,6.1952,2021,6.4934,0.2982
1,7,6.1952,2022,4.8754,-1.3197
1,7,6.1952,2023,5.1974,-0.9977
