model,year,boundary_idx,first_alarm_idx,delay_trajs,delay_games,delay_pct_year,n_alarms_year,n_trajs_year
Seq2Seq,2021,48000,67585,19585,2.45,40.8,11,48000
Seq2Seq,2022,96000,98481,2481,0.31,5.2,1,48000
Seq2Seq,2023,144000,166506,22506,2.81,46.9,5,48000
Seq2Seq,2024,192000,200401,8401,1.05,17.5,4,48000
Seq2Seq,2025,240000,256432,16432,2.05,34.2,2,48000
Kalman,2021,48000,50574,2574,0.32,5.4,14,48000
Kalman,2022,96000,103502,7502,0.94,15.6,11,48000
Kalman,2023,144000,145791,1791,0.22,3.7,10,48000
Kalman,2024,192000,194986,2986,0.37,6.2,9,48000
Kalman,2025,240000,274515,34515,4.31,71.9,1,48000
