fold,detector,family,config,FAR_calib,cov_calib,wilson_lo_per1k,wilson_hi_per1k,n_alarms,n_2019_alarms,n_post_alarms,FAR_2019_per1k,year_coverage,SNR_smooth,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025
A,ADE (erro do modelo),erro,"delta=1e-04, mw=1000, cd=500, xw=5000",0.125,4.0,0.0074,0.236,12,1,11,0.0417,5,1.385,1,6,1,2,1,1
A,accel_p95,feature,"delta=1e-07, mw=200, cd=200, xw=2000",0.25,5.0,0.1413,0.602,55,7,48,0.2917,5,1.413,7,20,5,10,7,6
A,accel_mean,feature,"delta=1e-07, mw=200, cd=1000, xw=2000",0.2083,5.0,0.1413,0.602,38,7,31,0.2917,5,0.923,7,10,2,7,7,5
A,speed_p95,feature,"delta=1e-07, mw=200, cd=1000, xw=2000",0.375,5.0,0.1689,0.6577,47,8,39,0.3333,5,1.026,8,10,5,9,8,7
A,speed_mean,feature,"delta=1e-06, mw=200, cd=1000, xw=2000",0.4167,5.0,0.1973,0.7126,54,9,45,0.375,5,1.062,9,11,6,10,9,9
A,"AND(ADE, accel_p95)",ensemble,"gate fase3, W=200, deb=5000",,,0.0,0.16,3,0,3,0.0,3,0.923,0,1,0,1,1,0
A,"OR(ADE, accel_p95)",ensemble,uniao,,,0.1689,0.6577,66,8,58,0.3333,5,1.513,8,25,6,12,8,7
B,ADE (erro do modelo),erro,"delta=1e-04, mw=1000, cd=200, xw=5000",0.0417,5.0,0.0425,0.3675,16,3,13,0.125,4,0.618,3,5,1,6,1,0
B,accel_p95,feature,"delta=1e-07, mw=600, cd=200, xw=2000",0.2083,5.0,0.1146,0.5454,57,6,51,0.25,5,1.311,6,13,6,24,4,4
B,accel_mean,feature,"delta=1e-06, mw=600, cd=200, xw=2000",0.2917,5.0,0.2861,0.8738,67,12,55,0.5,5,0.76,12,12,4,27,10,2
B,speed_p95,feature,"delta=1e-07, mw=600, cd=1000, xw=2000",0.2917,5.0,0.1973,0.7126,57,9,48,0.375,5,0.865,9,8,8,13,14,5
B,speed_mean,feature,"delta=1e-07, mw=200, cd=200, xw=2000",0.2917,5.0,0.5069,1.2362,100,19,81,0.7917,5,0.724,19,14,17,29,16,5
B,"AND(ADE, accel_p95)",ensemble,"gate fase3, W=200, deb=5000",,,0.0,0.16,2,0,2,0.0,2,0.529,0,1,0,1,0,0
B,"OR(ADE, accel_p95)",ensemble,uniao,,,0.1973,0.7126,73,9,64,0.375,5,1.147,9,18,7,30,5,4
