model,N_window,K_thr,K_delta,n_alarms,n_2019_alarms,n_post_alarms,year_coverage,FAR_2019_per1k_win,FAR_2019_per1k_traj
Seq2Seq,50,5,0.5,51,8,43,5,8.3333,0.1667
Seq2Seq,50,5,1.0,39,6,33,5,6.25,0.125
Seq2Seq,50,5,2.0,25,5,20,4,5.2083,0.1042
Seq2Seq,50,10,0.5,32,6,26,5,6.25,0.125
Seq2Seq,50,10,1.0,27,5,22,4,5.2083,0.1042
Seq2Seq,50,10,2.0,22,3,19,4,3.125,0.0625
Seq2Seq,50,20,0.5,23,4,19,3,4.1667,0.0833
Seq2Seq,50,20,1.0,21,3,18,3,3.125,0.0625
Seq2Seq,50,20,2.0,16,1,15,2,1.0417,0.0208
Seq2Seq,50,30,0.5,21,3,18,2,3.125,0.0625
Seq2Seq,50,30,1.0,19,2,17,2,2.0833,0.0417
Seq2Seq,50,30,2.0,15,1,14,1,1.0417,0.0208
Seq2Seq,50,50,0.5,18,3,15,1,3.125,0.0625
Seq2Seq,50,50,1.0,14,1,13,1,1.0417,0.0208
Seq2Seq,50,50,2.0,13,0,13,1,0.0,0.0
Seq2Seq,100,5,0.5,40,6,34,5,12.5,0.125
Seq2Seq,100,5,1.0,28,5,23,5,10.4167,0.1042
Seq2Seq,100,5,2.0,24,4,20,4,8.3333,0.0833
Seq2Seq,100,10,0.5,27,5,22,5,10.4167,0.1042
Seq2Seq,100,10,1.0,21,3,18,3,6.25,0.0625
Seq2Seq,100,10,2.0,18,2,16,2,4.1667,0.0417
Seq2Seq,100,20,0.5,21,4,17,2,8.3333,0.0833
Seq2Seq,100,20,1.0,20,3,17,2,6.25,0.0625
Seq2Seq,100,20,2.0,14,1,13,1,2.0833,0.0208
Seq2Seq,100,30,0.5,19,3,16,2,6.25,0.0625
Seq2Seq,100,30,1.0,15,2,13,1,4.1667,0.0417
Seq2Seq,100,30,2.0,14,1,13,1,2.0833,0.0208
Seq2Seq,100,50,0.5,15,2,13,1,4.1667,0.0417
Seq2Seq,100,50,1.0,14,1,13,1,2.0833,0.0208
Seq2Seq,100,50,2.0,11,0,11,1,0.0,0.0
Seq2Seq,200,5,0.5,30,6,24,5,25.0,0.125
Seq2Seq,200,5,1.0,23,3,20,4,12.5,0.0625
Seq2Seq,200,5,2.0,19,2,17,3,8.3333,0.0417
Seq2Seq,200,10,0.5,21,4,17,3,16.6667,0.0833
Seq2Seq,200,10,1.0,19,3,16,2,12.5,0.0625
Seq2Seq,200,10,2.0,16,1,15,2,4.1667,0.0208
Seq2Seq,200,20,0.5,17,3,14,1,12.5,0.0625
Seq2Seq,200,20,1.0,15,2,13,1,8.3333,0.0417
Seq2Seq,200,20,2.0,14,1,13,1,4.1667,0.0208
Seq2Seq,200,30,0.5,15,2,13,1,8.3333,0.0417
Seq2Seq,200,30,1.0,14,1,13,1,4.1667,0.0208
Seq2Seq,200,30,2.0,11,0,11,1,0.0,0.0
Seq2Seq,200,50,0.5,12,1,11,1,4.1667,0.0208
