gate,W,n_confirmed,delta_min,FAR_2019_per1k,year_coverage,SNR_smooth,n_post,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025
mes10_nearest,50,4,3,0.0208,3,0.4,3,1,1,0,1,1,0
phase3_deque,50,4,3,0.0208,3,0.4,3,1,1,0,1,1,0
mes10_nearest,100,4,3,0.0208,3,0.4,3,1,1,0,1,1,0
phase3_deque,100,4,3,0.0208,3,0.4,3,1,1,0,1,1,0
mes10_nearest,200,7,3,0.0208,3,0.7,6,1,3,0,1,2,0
phase3_deque,200,7,3,0.0208,3,0.7,6,1,3,0,1,2,0
mes10_nearest,500,9,3,0.0208,3,0.9,8,1,3,0,2,3,0
phase3_deque,500,9,3,0.0208,3,0.9,8,1,3,0,2,3,0
mes10_nearest,1000,9,3,0.0208,3,0.9,8,1,3,0,2,3,0
phase3_deque,1000,9,3,0.0208,3,0.9,8,1,3,0,2,3,0
mes10_nearest,2000,10,3,0.0208,4,1.0,9,1,3,1,2,3,0
phase3_deque,2000,10,3,0.0208,4,1.0,9,1,3,1,2,3,0
