model,exp,label,is_dimensionless,n_stream,var_reduction_pct,K_thr_used,adwin_delta,min_instances,cooldown,detector,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025
Seq2Seq,ctrl,Sem suavização (controlo),False,288000,0.0000,17.3000,0.0001,400,100,ADWIN,315,1.2292,256,0.8700,59,72,33,56,67,28
Seq2Seq,ctrl,Sem suavização (controlo),False,288000,0.0000,17.3000,0.0001,400,100,PH,1335,4.9792,1096,0.9200,239,376,142,227,129,222
Seq2Seq,sma_w020,SMA w=20,False,288000,74.0700,17.3000,0.0001,400,100,ADWIN,1530,5.9167,1246,0.8800,284,243,233,252,291,227
Seq2Seq,sma_w020,SMA w=20,False,288000,74.0700,17.3000,0.0001,400,100,PH,1320,5.0625,1077,0.8900,243,378,112,225,133,229
Seq2Seq,sma_w050,SMA w=50,False,288000,84.0100,17.3000,0.0001,400,100,ADWIN,2114,7.5417,1752,0.9700,362,350,361,354,354,333
Seq2Seq,sma_w050,SMA w=50,False,288000,84.0100,17.3000,0.0001,400,100,PH,1093,4.2708,888,0.8700,205,361,70,170,98,189
Seq2Seq,sma_w100,SMA w=100,False,288000,88.2600,17.3000,0.0001,400,100,ADWIN,2519,8.6667,2103,1.0100,416,416,416,425,424,422
Seq2Seq,sma_w100,SMA w=100,False,288000,88.2600,17.3000,0.0001,400,100,PH,938,3.8333,754,0.8200,184,347,52,136,70,149
Seq2Seq,sma_w200,SMA w=200,False,288000,90.7300,17.3000,0.0001,400,100,ADWIN,2630,9.2708,2185,0.9800,445,447,431,431,442,434
Seq2Seq,sma_w200,SMA w=200,False,288000,90.7300,17.3000,0.0001,400,100,PH,840,3.3125,681,0.8600,159,350,33,118,52,128
Seq2Seq,sma_w500,SMA w=500,False,288000,92.5000,17.3000,0.0001,400,100,ADWIN,2651,9.2083,2209,1.0000,442,442,440,444,444,439
Seq2Seq,sma_w500,SMA w=500,False,288000,92.5000,17.3000,0.0001,400,100,PH,760,3.1667,608,0.8000,152,361,22,91,37,97
Seq2Seq,med_w020,Mediana móvel w=20,False,288000,81.8400,17.3000,0.0001,400,100,ADWIN,1387,4.7083,1161,1.0300,226,230,213,219,256,243
Seq2Seq,med_w020,Mediana móvel w=20,False,288000,81.8400,17.3000,0.0001,400,100,PH,1452,5.1250,1206,0.9800,246,386,129,277,151,263
Seq2Seq,med_w050,Mediana móvel w=50,False,288000,90.9100,17.3000,0.0001,400,100,ADWIN,2076,7.2083,1730,1.0000,346,339,336,349,369,337
Seq2Seq,med_w050,Mediana móvel w=50,False,288000,90.9100,17.3000,0.0001,400,100,PH,1264,4.7500,1036,0.9100,228,364,83,230,121,238
Seq2Seq,med_w100,Mediana móvel w=100,False,288000,92.7200,17.3000,0.0001,400,100,ADWIN,2456,8.5000,2048,1.0000,408,398,408,412,427,403
Seq2Seq,med_w100,Mediana móvel w=100,False,288000,92.7200,17.3000,0.0001,400,100,PH,1100,4.1250,902,0.9100,198,344,62,200,89,207
Seq2Seq,med_w200,Mediana móvel w=200,False,288000,93.8500,17.3000,0.0001,400,100,ADWIN,2593,9.1458,2154,0.9800,439,422,431,437,438,426
Seq2Seq,med_w200,Mediana móvel w=200,False,288000,93.8500,17.3000,0.0001,400,100,PH,959,3.6875,782,0.8800,177,338,36,162,64,182
Seq2Seq,ewma_a001,EWMA α=0.01,False,288000,90.8800,17.3000,0.0001,400,100,ADWIN,2498,8.9583,2068,0.9600,430,417,405,416,419,411
Seq2Seq,ewma_a001,EWMA α=0.01,False,288000,90.8800,17.3000,0.0001,400,100,PH,871,3.6458,696,0.8000,175,356,34,122,57,127
Seq2Seq,ewma_a005,EWMA α=0.05,False,288000,82.7400,17.3000,0.0001,400,100,ADWIN,1981,7.0000,1645,0.9800,336,324,328,331,342,320
Seq2Seq,ewma_a005,EWMA α=0.05,False,288000,82.7400,17.3000,0.0001,400,100,PH,1152,4.5625,933,0.8500,219,367,82,185,103,196
Seq2Seq,ewma_a010,EWMA α=0.1,False,288000,75.3600,17.3000,0.0001,400,100,ADWIN,1541,5.9167,1257,0.8900,284,226,257,251,296,227
Seq2Seq,ewma_a010,EWMA α=0.1,False,288000,75.3600,17.3000,0.0001,400,100,PH,1301,5.1250,1055,0.8600,246,378,111,215,126,225
Seq2Seq,ewma_a020,EWMA α=0.2,False,288000,64.7200,17.3000,0.0001,400,100,ADWIN,1027,4.7083,801,0.7100,226,162,162,156,197,124
Seq2Seq,ewma_a020,EWMA α=0.2,False,288000,64.7200,17.3000,0.0001,400,100,PH,1414,5.4167,1154,0.8900,260,380,138,247,145,244
Seq2Seq,ewma_a030,EWMA α=0.3,False,288000,56.6100,17.3000,0.0001,400,100,ADWIN,806,3.4375,641,0.7800,165,122,126,139,157,97
Seq2Seq,ewma_a030,EWMA α=0.3,False,288000,56.6100,17.3000,0.0001,400,100,PH,1448,5.4792,1185,0.9000,263,387,150,249,150,249
Seq2Seq,holt_a005_b001,Holt α=0.05 β=0.01,False,288000,62.9400,17.3000,0.0001,400,100,ADWIN,1989,7.0833,1649,0.9700,340,332,336,312,352,317
Seq2Seq,holt_a005_b001,Holt α=0.05 β=0.01,False,288000,62.9400,17.3000,0.0001,400,100,PH,1006,2.5208,885,1.4600,121,346,77,173,103,186
Seq2Seq,holt_a005_b005,Holt α=0.05 β=0.05,False,288000,68.1900,17.3000,0.0001,400,100,ADWIN,1631,6.2500,1331,0.8900,300,261,266,269,278,257
Seq2Seq,holt_a005_b005,Holt α=0.05 β=0.05,False,288000,68.1900,17.3000,0.0001,400,100,PH,1259,4.3333,1051,1.0100,208,370,108,216,131,226
Seq2Seq,holt_a010_b001,Holt α=0.1 β=0.01,False,288000,69.3900,17.3000,0.0001,400,100,ADWIN,1551,5.8750,1269,0.9000,282,231,260,260,287,231
Seq2Seq,holt_a010_b001,Holt α=0.1 β=0.01,False,288000,69.3900,17.3000,0.0001,400,100,PH,1213,3.7917,1031,1.1300,182,367,106,214,124,220
Seq2Seq,holt_a010_b005,Holt α=0.1 β=0.05,False,288000,65.2800,17.3000,0.0001,400,100,ADWIN,1295,4.8750,1061,0.9100,234,218,193,242,232,176
Seq2Seq,holt_a010_b005,Holt α=0.1 β=0.05,False,288000,65.2800,17.3000,0.0001,400,100,PH,1366,4.9375,1129,0.9500,237,378,135,239,146,231
Seq2Seq,savgol_w51_p3,Savitzky-Golay w=51 p=3,False,288000,74.9000,17.3000,0.0001,400,100,ADWIN,1611,6.2917,1309,0.8700,302,262,224,267,298,258
Seq2Seq,savgol_w51_p3,Savitzky-Golay w=51 p=3,False,288000,74.9000,17.3000,0.0001,400,100,PH,1301,5.1042,1056,0.8600,245,375,108,218,130,225
Seq2Seq,robz_w200,Robust-z w=200,True,288000,75.7600,17.3000,0.0001,400,100,ADWIN,114,0.6042,85,0.5900,29,26,6,23,27,3
Seq2Seq,robz_w200,Robust-z w=200,True,288000,75.7600,17.3000,0.0001,400,100,PH,1187,4.8750,953,0.8100,234,180,200,193,213,167
Seq2Seq,robz_w500,Robust-z w=500,True,288000,80.1300,17.3000,0.0001,400,100,ADWIN,269,1.0000,221,0.9200,48,61,20,62,61,17
Seq2Seq,robz_w500,Robust-z w=500,True,288000,80.1300,17.3000,0.0001,400,100,PH,1181,4.9792,942,0.7900,239,187,195,188,200,172
Kalman,ctrl,Sem suavização (controlo),False,288000,0.0000,17.3000,0.0001,400,100,ADWIN,385,1.2708,324,1.0600,61,61,59,98,75,31
Kalman,ctrl,Sem suavização (controlo),False,288000,0.0000,17.3000,0.0001,400,100,PH,1330,4.3958,1119,1.0600,211,398,44,273,156,248
Kalman,sma_w020,SMA w=20,False,288000,66.2800,17.3000,0.0001,400,100,ADWIN,1490,5.4167,1230,0.9500,260,246,225,275,261,223
Kalman,sma_w020,SMA w=20,False,288000,66.2800,17.3000,0.0001,400,100,PH,1554,5.4167,1294,1.0000,260,420,76,319,168,311
Kalman,sma_w050,SMA w=50,False,288000,76.7500,17.3000,0.0001,400,100,ADWIN,2103,7.4792,1744,0.9700,359,364,341,330,359,350
Kalman,sma_w050,SMA w=50,False,288000,76.7500,17.3000,0.0001,400,100,PH,1450,4.9792,1211,1.0100,239,407,64,301,140,299
Kalman,sma_w100,SMA w=100,False,288000,81.4900,17.3000,0.0001,400,100,ADWIN,2501,8.4583,2095,1.0300,406,412,432,419,412,420
Kalman,sma_w100,SMA w=100,False,288000,81.4900,17.3000,0.0001,400,100,PH,1305,4.3333,1097,1.0500,208,387,46,268,115,281
Kalman,sma_w200,SMA w=200,False,288000,84.5400,17.3000,0.0001,400,100,ADWIN,2622,9.1875,2181,0.9900,441,446,436,429,439,431
Kalman,sma_w200,SMA w=200,False,288000,84.5400,17.3000,0.0001,400,100,PH,1209,3.8542,1024,1.1100,185,388,37,234,100,265
Kalman,sma_w500,SMA w=500,False,288000,87.2000,17.3000,0.0001,400,100,ADWIN,2614,9.1042,2177,1.0000,437,439,434,434,438,432
Kalman,sma_w500,SMA w=500,False,288000,87.2000,17.3000,0.0001,400,100,PH,1122,3.3958,959,1.1800,163,375,28,210,89,257
Kalman,med_w020,Mediana móvel w=20,False,288000,63.2500,17.3000,0.0001,400,100,ADWIN,1397,5.0833,1153,0.9500,244,228,239,238,243,205
Kalman,med_w020,Mediana móvel w=20,False,288000,63.2500,17.3000,0.0001,400,100,PH,1696,5.4167,1436,1.1000,260,428,162,336,169,341
Kalman,med_w050,Mediana móvel w=50,False,288000,74.4700,17.3000,0.0001,400,100,ADWIN,2077,7.1667,1733,1.0100,344,357,329,350,354,343
Kalman,med_w050,Mediana móvel w=50,False,288000,74.4700,17.3000,0.0001,400,100,PH,1624,4.9583,1386,1.1600,238,406,174,313,150,343
Kalman,med_w100,Mediana móvel w=100,False,288000,79.5400,17.3000,0.0001,400,100,ADWIN,2459,8.5208,2050,1.0000,409,407,422,397,416,408
Kalman,med_w100,Mediana móvel w=100,False,288000,79.5400,17.3000,0.0001,400,100,PH,1516,4.5000,1300,1.2000,216,395,166,276,125,338
Kalman,med_w200,Mediana móvel w=200,False,288000,82.8500,17.3000,0.0001,400,100,ADWIN,2591,8.9375,2162,1.0100,429,437,437,427,435,426
Kalman,med_w200,Mediana móvel w=200,False,288000,82.8500,17.3000,0.0001,400,100,PH,1442,4.0208,1249,1.2900,193,390,161,257,104,337
Kalman,ewma_a001,EWMA α=0.01,False,288000,84.9200,17.3000,0.0001,400,100,ADWIN,2491,8.5000,2083,1.0200,408,425,422,408,418,410
Kalman,ewma_a001,EWMA α=0.01,False,288000,84.9200,17.3000,0.0001,400,100,PH,1227,3.8542,1042,1.1300,185,390,36,239,105,272
Kalman,ewma_a005,EWMA α=0.05,False,288000,75.4600,17.3000,0.0001,400,100,ADWIN,1958,6.9375,1625,0.9800,333,340,320,331,324,310
Kalman,ewma_a005,EWMA α=0.05,False,288000,75.4600,17.3000,0.0001,400,100,PH,1469,5.0833,1225,1.0000,244,409,64,304,142,306
Kalman,ewma_a010,EWMA α=0.1,False,288000,67.4300,17.3000,0.0001,400,100,ADWIN,1440,5.5833,1172,0.8700,268,237,214,276,237,208
Kalman,ewma_a010,EWMA α=0.1,False,288000,67.4300,17.3000,0.0001,400,100,PH,1525,5.2708,1272,1.0100,253,416,72,316,159,309
Kalman,ewma_a020,EWMA α=0.2,False,288000,55.6600,17.3000,0.0001,400,100,ADWIN,943,3.5000,775,0.9200,168,136,149,184,174,132
Kalman,ewma_a020,EWMA α=0.2,False,288000,55.6600,17.3000,0.0001,400,100,PH,1544,5.4792,1281,0.9700,263,414,69,318,176,304
Kalman,ewma_a030,EWMA α=0.3,False,288000,46.6000,17.3000,0.0001,400,100,ADWIN,759,2.8125,624,0.9200,135,113,114,159,133,105
Kalman,ewma_a030,EWMA α=0.3,False,288000,46.6000,17.3000,0.0001,400,100,PH,1529,5.3333,1273,0.9900,256,413,68,317,176,299
Kalman,holt_a005_b001,Holt α=0.05 β=0.01,False,288000,71.9500,17.3000,0.0001,400,100,ADWIN,1993,7.1042,1652,0.9700,341,341,320,344,341,306
Kalman,holt_a005_b001,Holt α=0.05 β=0.01,False,288000,71.9500,17.3000,0.0001,400,100,PH,1440,4.4167,1228,1.1600,212,405,72,303,146,302
Kalman,holt_a005_b005,Holt α=0.05 β=0.05,False,288000,63.3900,17.3000,0.0001,400,100,ADWIN,1679,5.8958,1396,0.9900,283,279,277,300,285,255
Kalman,holt_a005_b005,Holt α=0.05 β=0.05,False,288000,63.3900,17.3000,0.0001,400,100,PH,1546,5.2083,1296,1.0400,250,416,84,315,165,316
Kalman,holt_a010_b001,Holt α=0.1 β=0.01,False,288000,65.0000,17.3000,0.0001,400,100,ADWIN,1422,5.2292,1171,0.9300,251,236,230,243,238,224
Kalman,holt_a010_b001,Holt α=0.1 β=0.01,False,288000,65.0000,17.3000,0.0001,400,100,PH,1519,5.0833,1275,1.0500,244,414,73,317,164,307
Kalman,holt_a010_b005,Holt α=0.1 β=0.05,False,288000,57.5400,17.3000,0.0001,400,100,ADWIN,1251,4.7917,1021,0.8900,230,204,201,215,212,189
Kalman,holt_a010_b005,Holt α=0.1 β=0.05,False,288000,57.5400,17.3000,0.0001,400,100,PH,1581,5.5000,1317,1.0000,264,419,84,326,172,316
Kalman,savgol_w51_p3,Savitzky-Golay w=51 p=3,False,288000,67.1400,17.3000,0.0001,400,100,ADWIN,1552,5.6875,1279,0.9400,273,257,240,286,281,215
Kalman,savgol_w51_p3,Savitzky-Golay w=51 p=3,False,288000,67.1400,17.3000,0.0001,400,100,PH,1559,5.3750,1301,1.0100,258,419,79,321,165,317
Kalman,robz_w200,Robust-z w=200,True,288000,98.4400,17.3000,0.0001,400,100,ADWIN,246,0.5417,220,1.6900,26,52,31,62,58,17
Kalman,robz_w200,Robust-z w=200,True,288000,98.4400,17.3000,0.0001,400,100,PH,953,4.0417,759,0.7800,194,128,106,208,189,128
Kalman,robz_w500,Robust-z w=500,True,288000,98.4700,17.3000,0.0001,400,100,ADWIN,406,1.5417,332,0.9000,74,68,42,107,86,29
Kalman,robz_w500,Robust-z w=500,True,288000,98.4700,17.3000,0.0001,400,100,PH,930,4.1458,731,0.7300,199,127,95,204,178,127
