frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd200_xw2000,0.000100,200.000000,200.000000,2000.000000,robz_w200,48000,240000,105,0.520800,80,0.640000,25,21,6,25,21,7,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd200_xw5000,0.000100,200.000000,200.000000,5000.000000,robz_w200,48000,240000,49,0.187500,40,0.890000,9,19,2,10,6,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd500_xw2000,0.000100,200.000000,500.000000,2000.000000,robz_w200,48000,240000,83,0.437500,62,0.590000,21,19,5,18,15,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd500_xw5000,0.000100,200.000000,500.000000,5000.000000,robz_w200,48000,240000,39,0.125000,33,1.100000,6,14,2,8,6,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd1000_xw2000,0.000100,200.000000,1000.000000,2000.000000,robz_w200,48000,240000,65,0.312500,50,0.670000,15,15,5,14,12,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd1000_xw5000,0.000100,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,30,0.062500,27,1.800000,3,10,2,7,6,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd200_xw2000,0.000100,400.000000,200.000000,2000.000000,robz_w200,48000,240000,103,0.479200,80,0.700000,23,21,6,25,21,7,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd200_xw5000,0.000100,400.000000,200.000000,5000.000000,robz_w200,48000,240000,48,0.166700,40,1.000000,8,19,2,10,6,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd500_xw2000,0.000100,400.000000,500.000000,2000.000000,robz_w200,48000,240000,81,0.395800,62,0.650000,19,19,5,18,15,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd500_xw5000,0.000100,400.000000,500.000000,5000.000000,robz_w200,48000,240000,38,0.104200,33,1.320000,5,14,2,8,6,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd1000_xw2000,0.000100,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,65,0.312500,50,0.670000,15,15,5,14,12,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd1000_xw5000,0.000100,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,31,0.083300,27,1.350000,4,10,2,7,6,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw600_cd200_xw2000,0.000100,600.000000,200.000000,2000.000000,robz_w200,48000,240000,106,0.500000,82,0.680000,24,24,6,24,21,7,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw600_cd200_xw5000,0.000100,600.000000,200.000000,5000.000000,robz_w200,48000,240000,48,0.166700,40,1.000000,8,19,2,10,6,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw600_cd500_xw2000,0.000100,600.000000,500.000000,2000.000000,robz_w200,48000,240000,82,0.416700,62,0.620000,20,19,5,18,15,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw600_cd500_xw5000,0.000100,600.000000,500.000000,5000.000000,robz_w200,48000,240000,38,0.104200,33,1.320000,5,14,2,8,6,3,,,,,,
