frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd200_xw2000,0.000100,200.000000,200.000000,2000.000000,robz_w200,48000,240000,188,0.770800,151,0.820000,37,26,28,40,38,19,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd200_xw5000,0.000100,200.000000,200.000000,5000.000000,robz_w200,48000,240000,169,0.708300,135,0.790000,34,25,21,33,37,19,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd500_xw2000,0.000100,200.000000,500.000000,2000.000000,robz_w200,48000,240000,156,0.687500,123,0.750000,33,21,22,30,32,18,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd500_xw5000,0.000100,200.000000,500.000000,5000.000000,robz_w200,48000,240000,139,0.625000,109,0.730000,30,17,17,26,31,18,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd1000_xw2000,0.000100,200.000000,1000.000000,2000.000000,robz_w200,48000,240000,110,0.500000,86,0.720000,24,15,13,22,21,15,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw200_cd1000_xw5000,0.000100,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,101,0.479200,78,0.680000,23,11,13,18,25,11,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd200_xw2000,0.000100,400.000000,200.000000,2000.000000,robz_w200,48000,240000,179,0.770800,142,0.770000,37,20,28,37,38,19,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd200_xw5000,0.000100,400.000000,200.000000,5000.000000,robz_w200,48000,240000,143,0.520800,118,0.940000,25,20,19,32,34,13,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd500_xw2000,0.000100,400.000000,500.000000,2000.000000,robz_w200,48000,240000,157,0.687500,124,0.750000,33,17,23,33,33,18,,,,,,
A,Seq2Seq,ADWIN,A_d1e-04_mw400_cd500_xw5000,0.000100,400.000000,500.000000,5000.000000,robz_w200,48000,240000,123,0.479200,100,0.870000,23,18,16,25,28,13,,,,,,
