year,model,horizon,p50,p90,p99,n_trajs
2019,Kalman,30→15,15.299372673034668,31.690051460266137,54.416558914184535,24000
2019,Kalman,60→30,53.80769729614258,109.14446868896488,181.00989929199187,24000
2019,Seq2Seq,30→15,4.013399362564087,9.403455543518074,17.58980375289914,24000
2019,Seq2Seq,60→30,27.663806915283203,57.85296745300296,100.62848167419416,24000
2021,Kalman,30→15,24.548897743225098,44.33012619018556,82.43018028259252,24000
2021,Kalman,60→30,84.35114288330078,149.27018280029304,244.22249267578047,24000
2021,Seq2Seq,30→15,5.432298898696899,13.319891643524171,26.203658313751202,24000
2021,Seq2Seq,60→30,37.04095458984375,83.9953582763672,172.61511215209939,24000
2022,Kalman,30→15,17.415817260742188,28.12537727355957,38.53761123657224,24000
2022,Kalman,60→30,60.67823028564453,98.78874206542969,135.28976638793938,24000
2022,Seq2Seq,30→15,3.6974552869796753,7.839957857131962,14.021517486572257,24000
2022,Seq2Seq,60→30,26.200976371765137,51.07709083557129,79.3095940399166,24000
2023,Kalman,30→15,19.029778480529785,36.343576049804696,54.32818305969233,24000
2023,Kalman,60→30,65.38601684570312,127.90690841674811,186.2146366882324,24000
2023,Seq2Seq,30→15,4.537165880203247,9.634435081481934,15.86508213043212,24000
2023,Seq2Seq,60→30,32.74630165100098,65.72282638549807,103.17100273132313,24000
2024,Kalman,30→15,16.998022079467773,33.4344165802002,52.45187061309813,24000
2024,Kalman,60→30,58.368324279785156,116.23741912841801,179.46193542480458,24000
2024,Seq2Seq,30→15,4.046994924545288,8.795977783203126,15.124589471817007,24000
2024,Seq2Seq,60→30,29.404788970947266,59.9525024414063,95.14607055664052,24000
2025,Kalman,30→15,20.941502571105957,35.31555023193361,50.948074493408186,24000
2025,Kalman,60→30,72.25973892211914,124.31440582275391,177.43781051635742,24000
2025,Seq2Seq,30→15,4.654727220535278,9.52299966812134,15.941686544418335,24000
2025,Seq2Seq,60→30,33.40782928466797,64.69959487915042,101.58994186401345,24000
