method,drift_type,stream_index,year,match_id,log_file
ADWIN_ADE_seq2seq_30_15,Erro (online),223,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),543,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),1119,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),1311,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),1535,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),1823,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),1919,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),2047,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),2175,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),2303,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),3135,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),3519,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),3711,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),4191,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),4351,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),4863,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),5311,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),5631,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),5791,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),6143,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),6591,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),6719,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),6911,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),7103,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),7679,2019,2019_KIKS_vs_MRL,2019-07-04_14-10_KIKS-vs-MRL.log
ADWIN_ADE_seq2seq_30_15,Erro (online),8063,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),8255,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),8511,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),8703,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),8799,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),9087,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),9855,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),9983,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),10847,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),11103,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),11327,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),11519,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),11775,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),12639,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),12735,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),13215,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),13439,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),13631,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),13759,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),14047,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),14271,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),14399,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),14655,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),14783,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),15039,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),15551,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),15807,2019,2019_KIKS_vs_OPAmP,2019-07-05_04-18_KIKS-vs-OP-AmP.log
ADWIN_ADE_seq2seq_30_15,Erro (online),16063,2019,2019_KIKS_vs_TIGERs_Mannheim,2019-07-04_06-55_KIKS-vs-TIGERs_Mannheim.log
ADWIN_ADE_seq2seq_30_15,Erro (online),16319,2019,2019_KIKS_vs_TIGERs_Mannheim,2019-07-04_06-55_KIKS-vs-TIGERs_Mannheim.log
