detector,shift_mm,n_detected,n_total,lat_p50,lat_p10,lat_p90
ADWIN,0.0,15,15,49.0,49.0,49.0
PageHinkley,0.0,15,15,49.0,49.0,49.0
ADWIN,1.0,15,15,49.0,49.0,49.0
PageHinkley,1.0,15,15,49.0,49.0,49.0
ADWIN,2.0,15,15,49.0,49.0,49.0
PageHinkley,2.0,15,15,49.0,49.0,49.0
ADWIN,5.0,15,15,49.0,49.0,49.0
PageHinkley,5.0,15,15,49.0,49.0,49.0
ADWIN,10.0,15,15,49.0,49.0,49.0
PageHinkley,10.0,15,15,49.0,49.0,49.0
ADWIN,20.0,15,15,49.0,49.0,49.0
PageHinkley,20.0,15,15,49.0,49.0,49.0
ADWIN,50.0,15,15,49.0,49.0,49.0
PageHinkley,50.0,15,15,49.0,49.0,49.0
