year,feature,ade_iw,ess_ratio,recovery_pct,recovery_raw
2021,speed_mean,7.3399,0.8999,7.9,7.9
2021,speed_p90,7.0979,0.8275,15.83,15.83
2021,speed_p99,7.0553,0.8169,17.22,17.22
2021,accel_mean,6.2699,0.578,42.95,42.95
2021,accel_p90,5.933,0.5064,53.98,53.98
2021,accel_p99,5.8363,0.4911,57.14,57.14
2021,turn_mean,7.4201,0.9429,5.28,5.28
2021,turn_p90,7.4611,0.958,3.93,3.93
2022,speed_mean,4.528,0.9358,99.85,99.85
2022,speed_p90,4.4966,0.9224,100.0,113.8
2022,speed_p99,4.4879,0.916,100.0,117.69
2022,accel_mean,4.6609,0.8603,40.83,40.83
2022,accel_p90,4.7457,0.8327,3.15,3.15
2022,accel_p99,4.7543,0.8275,0.0,-0.65
2022,turn_mean,4.8161,0.8607,0.0,-28.12
2022,turn_p90,4.7295,0.9773,10.36,10.36
2023,speed_mean,5.0437,0.9157,24.73,24.73
2023,speed_p90,4.9772,0.862,34.43,34.43
2023,speed_p99,4.9657,0.849,36.11,36.11
2023,accel_mean,4.8909,0.7977,47.02,47.02
2023,accel_p90,4.8618,0.7719,51.26,51.26
2023,accel_p99,4.8524,0.7627,52.64,52.64
2023,turn_mean,5.2071,0.9856,0.9,0.9
2023,turn_p90,5.2117,0.9961,0.23,0.23
2025,speed_mean,5.0568,0.9266,27.44,27.44
2025,speed_p90,4.9797,0.8716,38.02,38.02
2025,speed_p99,4.9645,0.8581,40.09,40.09
2025,accel_mean,4.8957,0.673,49.53,49.53
2025,accel_p90,4.8841,0.6268,51.13,51.13
2025,accel_p99,4.8797,0.6046,51.73,51.73
2025,turn_mean,5.2615,0.9867,0.0,-0.64
2025,turn_p90,5.2648,0.9914,0.0,-1.09
