n_per_year,year,model,horizon,ade_mean,ci_lo,ci_hi,n_trajs
3,2019,Kalman,30→15,17.3616,17.2201,17.5067,24000
3,2019,Kalman,60→30,60.3763,59.895,60.8316,24000
3,2019,Seq2Seq,30→15,4.9196,4.8685,4.974,24000
3,2019,Seq2Seq,60→30,32.011,31.7349,32.2877,24000
3,2021,Kalman,30→15,25.3119,25.0771,25.5784,24000
3,2021,Kalman,60→30,86.0825,85.3833,86.8424,24000
3,2021,Seq2Seq,30→15,6.8154,6.6945,6.9926,24000
3,2021,Seq2Seq,60→30,45.0492,44.5524,45.6181,24000
3,2022,Kalman,30→15,17.5014,17.3914,17.6056,24000
3,2022,Kalman,60→30,61.3592,60.9757,61.7463,24000
3,2022,Seq2Seq,30→15,4.2871,4.2508,4.3237,24000
3,2022,Seq2Seq,60→30,29.0008,28.7896,29.2175,24000
3,2023,Kalman,30→15,20.5043,20.3578,20.6478,24000
3,2023,Kalman,60→30,71.2104,70.6765,71.7164,24000
3,2023,Seq2Seq,30→15,5.2056,5.1622,5.2484,24000
3,2023,Seq2Seq,60→30,36.4314,36.1599,36.6936,24000
3,2024,Kalman,30→15,18.4255,18.2807,18.5686,24000
3,2024,Kalman,60→30,64.1225,63.6404,64.6189,24000
3,2024,Seq2Seq,30→15,4.7163,4.6738,4.7589,24000
3,2024,Seq2Seq,60→30,33.0749,32.8108,33.334,24000
3,2025,Kalman,30→15,21.4498,21.3113,21.5952,24000
3,2025,Kalman,60→30,74.8417,74.3646,75.3056,24000
3,2025,Seq2Seq,30→15,5.2841,5.2442,5.3263,24000
3,2025,Seq2Seq,60→30,36.8879,36.6354,37.1751,24000
6,2019,Kalman,30→15,16.532,16.4383,16.6275,48000
6,2019,Kalman,60→30,57.7427,57.4342,58.058,48000
6,2019,Seq2Seq,30→15,4.5277,4.4906,4.5654,48000
6,2019,Seq2Seq,60→30,30.1149,29.9286,30.2982,48000
6,2021,Kalman,30→15,26.0467,25.8519,26.2346,48000
6,2021,Kalman,60→30,87.5454,87.0288,88.1256,48000
6,2021,Seq2Seq,30→15,7.5812,7.4835,7.6997,48000
6,2021,Seq2Seq,60→30,50.3516,49.9634,50.7936,48000
6,2022,Kalman,30→15,18.4642,18.3816,18.5461,48000
6,2022,Kalman,60→30,64.6733,64.398,64.9534,48000
6,2022,Seq2Seq,30→15,4.7528,4.7259,4.7812,48000
6,2022,Seq2Seq,60→30,31.779,31.6123,31.9477,48000
6,2023,Kalman,30→15,20.9037,20.7974,21.009,48000
6,2023,Kalman,60→30,72.2017,71.8403,72.5531,48000
6,2023,Seq2Seq,30→15,5.2133,5.1821,5.2446,48000
6,2023,Seq2Seq,60→30,36.6428,36.4578,36.8356,48000
6,2024,Kalman,30→15,18.4822,18.3886,18.5722,48000
6,2024,Kalman,60→30,65.2575,64.9358,65.5785,48000
6,2024,Seq2Seq,30→15,4.501,4.4709,4.5324,48000
6,2024,Seq2Seq,60→30,31.3255,31.1586,31.503,48000
6,2025,Kalman,30→15,21.8817,21.7797,21.9837,48000
6,2025,Kalman,60→30,75.9712,75.617,76.3373,48000
6,2025,Seq2Seq,30→15,5.2569,5.2268,5.2867,48000
6,2025,Seq2Seq,60→30,36.865,36.653,37.0789,48000
